Chemical composition,At Temperature (K),conductivity (S/cm),Seebeck coefficient (uV/K),Total thermal conductivity (W/mK),figure of merit ZT,Reference,Paper DOI
Sm0.2Bi1.8Te3,398,690,-147.7,0.6,0.993,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Ag2Te,550,465.5,-119.7,0.6013,0.61456,Expt,10.1039/c1jm13888j
Ag8SiSe6,398,503.38,-158.71,0.6016,0.838841260545526,Expt,https://doi.org/10.1021/acsami.0c15877
AgBiSe2.0,323,185.5,-133,0.605,0.175183961735537,Expt,10.1039/c7dt04821a
Rb2Bi8Se12.9935,428,54.55,-263.6,0.608,0.266824532089474,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ag8SiSe6,343,486.13,-157.38,0.6091,0.678042670231291,Expt,https://doi.org/10.1021/acsami.0c15877
Ag0.98Nb0.02BiSe2.0,528,78.53,-189.2,0.61,0.243322320245508,Expt,10.1021/ja312474n
BiSbSe0.98Br0.023,400,193.62,-147,0.61,0.274356365901639,Expt,10.1002/adfm.201806558
Ag2.0Se0.5Te0.5,300,617.43,-90.7,0.61,0.249800740362295,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
K0.99Ba0.01GaSb4,602,111.41,-245.92,0.61150268530156,0.6633,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
In4Se2.67Cl0.03,623,304.51,-202.75,0.612,1.27426545471129,Expt,10.1002/adma.201004739
Mg3.5Gd0.04Sb1.97Te0.03,700,165.27,-253.87,0.6141,1.21415948177562,Expt,https://doi.org/10.1021/acsami.0c22558
In4Pb0.01Sn0.03Se2.9Cl0.06,573,101,-246.8,0.61448,0.573665264861346,Expt,10.1039/c4dt03432e
Ag8SiSe6,343,588.47,-152.1,0.616,0.7649,Expt,https://doi.org/10.1021/acsami.0c15877
In4Se2.67Cl0.03,598,318.9,-192.86,0.6173,1.14906276343352,Expt,10.1002/adma.201004739
In4Se2.67Cl0.03,573,333.33,-179.2,0.618,0.996,Expt,10.1002/adma.201004739
Rb2Bi8Se12.9805,428,54.55,-257.2,0.619,0.249511061262682,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Bi1.2Sb0.8Se2.88Cl0.12,700,113.2,-197,0.62,0.496004058064516,Expt,10.1039/d0ra04065g
Bi1.2Sb0.8Se2.82Cl0.18,700,151.38,-190,0.62,0.616995580645161,Expt,10.1039/d0ra04065g
Bi1.2Sb0.8Se2.76Cl0.24,600,193.92,-168,0.62,0.529664330322581,Expt,10.1039/d0ra04065g
BiSbSe2.82Cl0.18,300,180.1,-125,0.62,0.136164314516129,Expt,10.1039/d0ra04065g
Sm0.2Bi1.8Te3,423,640,-152.27,0.621,1.01078185395942,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Rb2Bi8Se12.9935Cl0.0065,330,95.59,-199.25,0.6223,0.201244148142978,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Mg3.5Gd0.04Sb2,700,113.22,-303.8,0.6261,1.16829636603737,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.07Sb1.5Bi0.46Se0.04,700,108.09,-304.84,0.6264,1.12247251008506,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Rb2Bi8Se12.9805Cl0.0195,625,93.38,-160,0.6284,0.237759388924252,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Rb2Bi8Se12.909,625,79.55,-193.2,0.6294,0.294854463775024,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ag2Te,600,431,-123.2,0.63,0.623030613333333,Expt,10.1039/c1jm13888j
BiSbSe0.92Br0.083,300,277.66,-110,0.63,0.159985047619048,Expt,10.1002/adfm.201806558
Y0.2Bi1.8Te3,373,849,-138.4,0.631,0.963,Expt,http://dx.doi.org/10.1016/j.pnsc.2013.06.007
Mg3.07Sb1.5Bi0.48Se0.02,700,115.67,-302.17,0.63194,1.16989158985412,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag2.0Se0.5Te0.5,315,634,-92.76,0.632,0.271896873243038,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
Mg3.5Gd0.03Sb1.97Te0.03,700,132.18,-279.58,0.6337,1.14128019668398,Expt,https://doi.org/10.1021/acsami.0c22558
AgBiSe2.0,478,56.64,-188,0.635,0.150693012359055,Expt,10.1021/ja312474n
BiSbSe0.94Br0.063,300,261.17,-112,0.64,0.15356796,Expt,10.1002/adfm.201806558
AgBiSe2.0,296,72.32,-154,0.645,0.0787103521736434,Expt,10.1021/ja312474n
CsPr2Ag3Te5,298,0.5294,-49.08,0.6466,0.000058772424788073,Expt,https://doi.org/10.1021/ic5007132
K0.98Ba0.02GaSb4,649,163.3,-221.43,0.647689727984336,0.8023,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Rb2Bi8Se12.9805Cl0.0195,526,94.12,-147.42,0.6477,0.166114131282008,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Ag2.0Se0.5Te0.5,330,644.95,-95,0.648,0.296423200231481,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
K0.985Ba0.015GaSb4,649,147.8,-233,0.649073951863393,0.8023,Expt,https://doi.org/10.1021/acs.chemmater.7b01217
Bi1.2Sb0.8Se2.76Cl0.24,500,239.23,-143,0.65,0.37630879,Expt,10.1039/d0ra04065g
BiSbSe0.96Br0.043,300,210,-100,0.65,0.12,Expt,10.1002/adfm.201806558
Rb2Bi8Se12.909,526,76,-184,0.6548,0.206693258399511,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Mg3.5Gd0.03Sb2,700,111.22,-291.9,0.6554,1.01214488265792,Expt,https://doi.org/10.1021/acsami.0c22558
Mg3.07Sb1.5Bi0.47Se0.03,700,114.48,-301.52,0.6556,1.11127351711629,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Mg3.07Sb1.5Bi0.46Se0.04,600,107.49,-303.87,0.657,0.906420241733425,Expt,https://doi.org/10.1021/acs.chemmater.7b01746
Ag8SiSe6,398,544.12,-153.63,0.6579,0.776908613002211,Expt,https://doi.org/10.1021/acsami.0c15877
Rb2Bi8Se12.9909Cl0.0091,330,125,-160,0.6599,0.160024246097894,Expt,https://doi.org/10.1021/acs.chemmater.0c00703
Bi1.2Sb0.8Se2.82Cl0.18,600,176.8,-168,0.66,0.453636654545455,Expt,10.1039/d0ra04065g
Ag2Te,650,411.3,-124.7,0.66,0.63354,Expt,10.1039/c1jm13888j
Ag2.0Se0.5Te0.5,345,650,-97.84,0.66,0.325253069818182,Expt,https://doi.org/10.1021/acs.inorgchem.1c01563
